1,2018/10/31 14:21:33,007200002539,THREAT,url,2049,2018/10/31 14:21:33,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 14:21:33,280008,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042968940,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 14:20:49,007200002539,THREAT,url,2049,2018/10/31 14:20:49,10.154.230.92,64.236.101.21,,,General Web Infrastructure,pancademo\adam.johnson,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 14:20:49,397832,1,50155,80,0,0,0x3000,tcp,block-url,"newsletter.adsonar.com/nwrss/imgs/nwr_1355937_8343242_73051_866767_4_2.PNG?placementId=1355937&plid=73051&pid=866767&ps=8343242&rotation=4&type=2&zw=336&zh=280&v=5&url=NA",(9999),phishing,informational,client-to-server,2042968178,0xa000000000000000,10.0.0.0-10.255.255.255,United States,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko),,,,,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:56:07,007200002539,THREAT,url,2049,2018/10/31 13:56:07,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:56:07,9927,1,54513,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/video-results/",(9999),phishing,informational,client-to-server,2042946294,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/The-Inbetweeners--US-_32651/season_1/episode_1/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:55:23,007200002539,THREAT,url,2049,2018/10/31 13:55:23,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:55:23,19900,1,54463,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/Criminal-Minds--Suspect-Behavior_24904/",(9999),phishing,informational,client-to-server,2042945746,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/?network=CBS",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:55:08,007200002539,THREAT,url,2049,2018/10/31 13:55:08,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:55:08,785388,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042945175,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:54:24,007200002539,THREAT,url,2049,2018/10/31 13:54:24,10.154.230.92,64.236.101.21,,,General Web Infrastructure,pancademo\adam.johnson,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:54:24,761182,1,50155,80,0,0,0x3000,tcp,block-url,"newsletter.adsonar.com/nwrss/imgs/nwr_1355937_8343242_73051_866767_4_2.PNG?placementId=1355937&plid=73051&pid=866767&ps=8343242&rotation=4&type=2&zw=336&zh=280&v=5&url=NA",(9999),phishing,informational,client-to-server,2042944413,0xa000000000000000,10.0.0.0-10.255.255.255,United States,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.57.2 (KHTML, like Gecko),,,,,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:28:56,007200002539,THREAT,url,2049,2018/10/31 13:28:56,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:28:56,219816,1,54463,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/Criminal-Minds--Suspect-Behavior_24904/",(9999),phishing,informational,client-to-server,2042922049,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/?network=CBS",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:28:42,007200002539,THREAT,url,2049,2018/10/31 13:28:42,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:28:42,140625,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042921555,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:02:12,007200002539,THREAT,url,2049,2018/10/31 13:02:12,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:02:12,641465,1,54423,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/?network=CBS",(9999),phishing,informational,client-to-server,2042898435,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/tv-shows/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
1,2018/10/31 13:01:26,007200002539,THREAT,url,2049,2018/10/31 13:01:26,10.154.172.92,91.192.111.188,,,General Web Infrastructure,pancademo\zoltan.gera,,web-browsing,vsys1,L3-TAP,L3-TAP,ethernet1/2,ethernet1/2,ToUS1RAMA,2018/10/31 13:01:26,448666,1,54396,80,0,0,0x3000,tcp,block-url,"www.tv-links.eu/tv-shows/",(9999),phishing,informational,client-to-server,2042897694,0xa000000000000000,10.0.0.0-10.255.255.255,Spain,0,,0,,,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1,,,"http://www.tv-links.eu/movies/The-Five-Year-Engagement_27826/video-results/",,,,0,31,43,0,0,,us3,,,,get,0,,0,,N/A,unknown,AppThreat-0-0,0x0,0,4294967295,
